toan,van,anh,lich_su,dia_ly,gdcd,nganh_hoc
6.0,7.75,4.2,5.25,6.5,8.0,6
5.0,8.0,5.0,7.0,7.25,7.5,6
7.4,7.5,8.6,6.25,6.5,7.75,1
4.0,6.0,5.8,8.5,5.5,5.75,5
7.8,8.75,7.2,6.5,7.75,7.75,5
7.4,7.25,6.8,6.5,8.0,8.0,7
2.6,7.25,3.0,6.5,6.25,8.25,6
8.0,8.5,8.2,8.75,7.25,7.25,5
5.2,6.25,3.0,4.5,3.75,6.5,6
3.8,5.0,4.8,3.5,7.75,6.25,7
8.0,7.0,6.2,4.75,7.0,6.5,1
5.6,6.0,4.4,9.25,7.25,8.5,6
5.6,6.5,6.8,6.0,5.25,6.0,5
6.2,8.75,5.8,8.75,8.25,9.5,6
8.4,8.0,7.2,8.0,7.5,7.25,1
7.2,8.5,8.2,6.5,7.75,9.0,5
4.4,6.75,5.0,2.75,4.75,5.75,7
7.2,8.75,8.0,5.75,7.75,8.75,5
8.6,9.0,9.8,7.0,8.25,8.5,1
7.8,9.5,8.0,6.25,8.0,8.25,5
7.2,7.75,8.6,8.0,7.75,9.0,6
4.6,5.75,5.0,3.5,4.75,4.25,7
7.4,9.25,6.8,6.0,4.75,7.75,1
2.6,5.5,5.0,4.5,6.25,8.0,6
6.4,8.0,4.8,7.5,7.75,8.5,6
8.4,8.75,9.2,7.0,7.25,8.5,1
8.0,7.5,9.4,6.5,6.5,8.25,1
8.0,7.75,7.8,5.75,7.0,8.5,1
7.6,8.5,7.8,7.25,6.75,8.25,5
6.6,2.5,5.8,4.0,5.5,5.0,1
8.0,8.5,8.6,6.75,7.0,8.75,1
8.4,7.5,9.2,6.0,5.75,8.25,1
7.6,7.75,4.8,7.75,8.0,8.5,6
7.0,7.0,4.6,7.25,6.75,10.0,6
5.6,7.0,6.0,5.5,7.75,8.0,6
6.6,6.75,8.2,7.0,6.0,8.0,1
8.2,8.75,9.0,7.25,7.25,7.75,5
8.0,8.75,7.8,5.25,7.75,7.25,1
7.2,8.5,7.6,7.25,7.5,8.0,5
6.6,8.75,7.4,5.0,7.75,8.0,7
7.8,8.5,8.0,5.5,6.5,8.75,1
6.2,7.75,8.6,6.5,7.75,9.0,7
6.0,7.0,7.8,6.5,7.75,8.75,7
6.6,8.5,6.8,6.5,8.25,8.5,7
7.0,8.5,4.6,7.25,6.5,7.75,6
8.2,7.75,8.2,6.5,7.5,8.0,1
7.4,8.5,8.0,5.75,8.0,8.0,7
7.0,8.25,4.0,7.75,6.75,9.0,6
6.6,5.25,4.2,6.25,7.25,7.5,6
7.8,9.25,7.0,7.0,7.75,8.75,5
6.0,4.75,4.8,7.25,5.0,4.0,5
7.6,6.5,7.2,5.75,6.5,8.0,1
3.2,3.75,2.6,4.5,6.0,4.0,6
7.2,9.25,9.2,5.5,7.25,8.0,5
6.8,8.0,7.8,7.25,7.5,8.75,5
6.2,8.25,7.0,5.75,6.25,8.25,5
1.8,3.0,4.2,3.5,3.0,3.5,5
7.4,8.5,8.6,7.25,6.5,9.75,5
5.6,7.0,5.0,6.0,6.0,8.5,6
8.0,8.75,8.0,7.0,7.5,9.25,5
3.8,6.25,4.8,5.75,7.0,8.5,6
4.8,8.0,3.0,7.5,8.0,9.0,6
3.6,6.0,2.4,4.25,6.75,6.25,6
7.4,9.0,8.0,6.75,7.0,7.25,5
5.6,6.0,4.0,8.0,6.25,7.5,6
6.8,8.75,6.8,6.5,7.25,8.0,7
8.2,9.0,6.2,7.75,8.25,9.75,6
6.6,8.5,9.2,7.25,7.0,9.25,5
6.6,9.0,8.4,6.25,6.25,6.75,5
6.8,8.0,7.0,7.0,8.5,9.25,7
7.6,8.0,7.6,6.0,7.5,8.5,1
4.6,6.25,3.4,6.25,7.25,7.25,6
5.4,9.0,6.2,3.0,6.75,7.5,7
7.8,9.25,9.4,7.5,8.0,9.75,6
4.8,6.0,4.8,6.75,5.75,7.5,6
6.2,8.0,6.6,7.25,7.25,8.5,7
8.2,9.25,7.4,7.25,8.5,10.0,5
7.2,9.0,6.8,7.0,8.0,8.25,7
7.8,6.75,9.2,6.25,7.75,8.0,1
5.0,6.5,8.0,5.5,5.5,7.75,7
4.6,2.75,4.2,2.75,3.0,4.75,1
5.6,8.5,9.6,6.5,6.5,9.0,5
7.6,9.0,9.4,7.75,8.75,8.5,7
7.0,8.0,5.4,9.0,9.0,5.75,5
8.2,8.5,6.4,5.0,6.0,8.25,1
6.2,8.0,5.8,5.5,7.25,6.5,7
6.4,8.5,3.4,9.0,8.25,8.0,6
7.8,8.5,7.0,5.75,5.75,8.25,1
6.8,8.25,9.0,6.5,8.0,8.75,7
8.2,8.25,7.8,7.25,9.25,9.0,7
7.6,7.75,7.4,6.25,7.5,8.0,1
8.2,8.5,8.0,5.75,7.5,8.0,1
6.6,5.0,4.6,5.75,5.75,7.75,6
8.0,8.75,8.2,5.0,6.75,7.25,1
5.8,5.25,4.8,4.0,4.25,5.75,1
7.2,7.25,4.6,3.5,6.5,7.25,1
8.0,7.75,8.4,7.25,7.75,7.25,1
8.4,8.0,6.6,7.25,8.5,8.0,7
7.6,9.0,5.6,5.25,3.0,7.0,1
8.2,9.25,8.0,7.0,8.0,9.25,5
4.8,7.75,7.2,7.0,7.5,10.0,5
7.8,8.5,7.4,6.75,7.75,9.25,5
6.6,7.25,6.8,8.0,8.25,9.75,6
7.0,8.25,5.6,5.25,6.25,8.0,6
8.0,7.75,7.0,6.5,6.75,7.25,1
4.0,4.25,3.4,3.25,5.5,4.25,7
4.0,7.75,3.0,6.0,6.5,7.25,6
7.8,4.5,7.8,6.75,5.5,7.75,1
7.2,9.0,7.8,6.25,7.25,8.25,5
6.0,8.0,6.6,7.0,8.0,8.5,7
4.2,7.5,5.0,5.0,4.75,4.5,5
2.2,7.25,5.0,4.25,5.5,5.75,7
8.8,8.75,5.4,5.0,7.0,7.25,1
7.6,9.0,7.4,7.25,6.5,9.0,5
7.8,9.0,7.0,7.0,7.75,9.5,5
8.0,8.0,9.0,7.0,8.0,8.75,7
6.0,6.75,3.4,5.5,6.5,6.75,6
4.2,3.75,3.8,7.0,5.75,7.0,6
6.6,7.0,8.0,5.5,7.5,8.25,7
7.2,8.0,6.8,7.0,9.5,9.5,7
8.0,8.25,8.0,5.75,7.25,7.5,1
7.6,8.75,9.6,7.0,7.75,9.0,5
4.4,5.75,2.6,7.25,7.25,8.75,6
8.0,8.5,8.2,7.5,8.0,9.5,6
5.2,6.0,7.4,6.25,4.75,1.75,5
7.8,7.75,7.4,8.0,8.75,9.5,6
8.6,8.5,7.2,6.75,8.25,9.0,1
6.8,8.75,7.0,5.25,6.5,7.75,5
8.2,8.25,8.4,7.25,7.75,9.5,1
6.2,8.25,8.0,7.25,7.5,8.75,5
6.4,5.5,8.0,4.25,4.75,6.5,1
5.6,8.25,5.6,4.75,5.5,6.25,5
8.4,9.25,7.6,7.25,9.5,8.75,7
6.2,7.75,8.2,7.5,6.75,6.75,5
7.4,7.5,9.4,6.75,7.5,8.75,7
9.0,8.75,8.0,7.25,7.75,7.25,1
8.0,7.75,6.6,7.25,8.75,8.0,7
6.0,7.25,6.6,6.0,7.0,8.75,7
7.0,7.25,5.4,5.75,6.75,8.5,6
8.6,6.5,9.6,7.75,7.5,9.0,1
5.2,8.25,8.4,6.0,7.0,9.25,5
6.2,8.5,7.0,6.5,7.0,9.0,5
7.6,8.5,7.8,6.5,7.75,8.25,5
7.4,9.0,7.8,7.0,8.0,9.25,5
7.6,8.0,6.2,6.0,8.0,9.0,6
7.8,7.75,6.6,5.5,7.25,6.25,7
8.0,7.25,7.4,7.75,8.75,9.0,6
8.8,8.75,9.0,6.5,6.25,9.0,1
7.6,8.5,9.4,7.25,8.25,8.5,7
5.8,7.0,4.0,5.0,5.25,7.75,6
6.8,6.5,6.8,7.25,6.75,8.0,7
6.4,8.25,6.4,8.5,7.25,9.0,6
7.4,8.25,6.8,6.75,5.75,7.0,1
7.0,7.75,5.0,4.0,6.75,6.75,1
6.6,8.0,8.0,7.0,7.0,8.75,5
7.4,9.75,8.2,7.0,7.75,8.0,5
6.4,7.5,3.8,6.25,5.75,9.25,6
8.4,7.0,7.6,7.0,8.0,9.0,1
4.8,6.5,6.8,6.75,6.5,7.0,7
7.0,8.25,6.8,6.25,8.0,9.25,7
6.6,8.0,5.6,9.0,9.0,8.25,6
6.8,8.75,6.2,5.5,6.0,6.5,1
4.8,7.25,5.2,4.0,6.25,6.0,7
7.4,8.0,6.8,9.0,9.25,9.5,6
6.6,8.5,6.6,6.25,7.25,9.0,7
6.8,6.0,6.8,6.75,7.5,8.25,7
6.0,9.25,7.4,6.5,7.5,9.5,5
6.4,7.75,7.2,6.5,7.75,8.25,7
7.2,6.5,4.0,6.75,7.25,8.25,6
5.4,7.5,6.6,5.0,7.0,7.5,7
2.2,5.25,2.0,5.0,7.0,6.5,6
1.6,3.5,7.0,8.0,6.75,6.25,7
7.6,7.75,8.2,6.75,7.0,7.0,1
7.8,7.0,6.2,8.75,9.0,9.25,6
7.0,7.25,7.2,6.75,8.5,9.75,7
7.0,8.0,7.2,8.25,6.75,7.25,5
4.8,6.75,4.4,5.5,6.5,7.5,6
4.6,8.25,6.6,7.0,7.25,8.5,7
6.8,8.25,6.4,4.5,6.5,7.25,1
6.4,7.25,4.4,5.25,7.5,6.0,7
4.6,6.5,6.6,6.25,8.5,8.5,7
8.2,8.75,8.0,6.25,7.25,7.5,1
4.8,4.75,4.2,4.0,7.25,6.5,7
8.0,8.75,6.2,5.5,7.5,7.75,1
7.4,9.0,7.4,7.25,7.5,9.25,5
7.8,8.25,9.0,6.75,7.0,9.75,1
7.6,7.5,7.0,7.25,7.5,8.5,1
2.8,2.0,3.4,3.0,3.5,3.75,7
7.8,7.75,6.4,5.0,6.5,8.0,1
5.4,8.5,4.4,5.0,7.5,7.75,6
6.4,6.75,6.6,6.5,7.5,9.25,7
4.0,7.5,3.6,9.25,8.25,8.5,6
8.0,9.25,6.6,7.0,7.75,8.75,7
8.6,9.0,9.2,7.0,7.5,7.5,1
6.8,7.0,6.0,4.5,6.25,6.75,1
6.2,5.0,8.6,6.25,6.5,8.75,7
4.2,4.5,3.2,4.0,7.25,8.25,6
8.0,6.25,8.4,6.0,6.5,8.0,1
6.8,8.5,6.6,6.25,7.75,8.5,7
6.6,8.75,6.0,7.25,7.75,9.5,6
7.0,8.25,7.4,6.0,7.5,7.75,5
9.0,9.25,8.0,6.0,7.5,8.75,1
7.4,9.0,8.4,6.0,7.75,7.75,5
8.0,8.25,8.6,5.75,7.25,7.5,1
3.6,6.5,3.0,5.0,5.5,6.75,6
7.6,6.75,4.6,8.75,9.75,8.75,6
7.6,8.5,8.6,7.25,8.5,9.0,7
7.0,9.0,9.0,6.5,8.0,8.75,5
5.6,8.25,8.0,5.75,6.0,8.0,5
5.2,8.25,5.0,8.5,8.5,8.75,6
7.2,7.25,4.8,7.25,7.5,8.75,6
5.0,8.25,5.6,6.25,5.5,8.25,6
4.8,7.5,7.2,4.75,6.5,7.25,5
6.0,7.75,3.8,6.5,7.25,8.75,6
6.4,9.0,7.8,7.0,7.0,9.0,5
5.0,6.5,6.6,5.25,7.25,6.75,7
2.8,5.0,3.0,4.0,6.5,7.0,6
5.6,7.0,7.0,6.5,5.25,5.75,5
7.4,8.5,8.0,7.25,6.75,9.75,5
6.2,5.75,8.8,6.75,5.75,7.0,1
5.4,7.5,4.6,5.25,3.5,6.5,6
6.0,7.75,6.8,6.25,6.75,8.25,7
3.0,7.0,7.4,5.25,5.75,8.25,5
7.4,8.75,7.6,6.5,8.25,8.25,7
8.0,8.75,8.8,7.0,6.5,9.0,5
6.8,7.0,6.6,6.75,6.5,8.5,7
8.0,8.75,7.4,5.25,6.0,5.75,1
6.8,7.25,7.2,5.0,5.75,6.5,1
6.2,9.25,7.6,6.5,7.25,9.5,5
6.0,7.5,7.4,6.25,5.75,8.25,5
8.0,8.25,7.2,6.75,9.25,9.75,7
8.0,9.0,7.0,7.25,6.75,8.75,5
6.8,6.0,5.0,5.5,8.0,8.0,6
7.8,9.0,6.6,6.75,7.5,8.0,7
6.2,8.5,8.4,5.5,7.25,7.25,5
6.8,7.0,7.8,4.25,6.5,7.75,1
6.4,8.0,8.0,6.0,6.75,6.75,5
3.4,7.75,6.8,5.75,7.5,8.0,7
6.8,7.5,6.0,6.75,8.25,9.25,6
6.2,8.0,9.0,6.5,5.0,7.25,5
4.0,7.75,8.0,6.0,6.5,6.75,5
7.6,8.5,2.6,4.75,7.75,7.0,6
7.2,8.5,9.4,7.0,8.25,9.5,7
8.8,8.0,7.8,7.0,7.75,8.0,1
7.4,6.0,4.4,8.25,7.75,8.75,6
8.0,9.0,8.8,3.25,5.25,6.75,1
7.4,9.0,8.4,6.5,5.75,8.0,5
8.4,7.75,7.6,7.5,9.5,9.25,6
3.4,7.25,3.2,4.75,4.25,3.75,5
7.0,6.0,5.4,7.25,8.25,8.0,6
6.0,7.0,6.6,6.5,7.25,8.75,7
6.2,7.5,7.6,6.25,7.0,8.25,5
2.2,4.0,3.4,3.75,5.75,7.5,6
8.2,8.75,5.8,6.25,6.75,7.0,1
5.6,8.0,5.0,6.0,7.0,7.5,6
4.2,5.75,5.8,6.5,6.25,7.0,6
7.2,8.5,4.8,7.0,8.0,8.75,6
5.8,7.25,6.6,5.0,8.0,7.0,7
8.4,9.5,8.2,7.25,7.75,8.75,5
7.0,6.75,8.2,7.0,8.25,8.25,7
7.6,8.25,9.6,7.25,8.75,9.5,7
8.2,6.5,4.2,4.75,4.75,6.5,1
8.4,9.0,8.8,6.5,8.0,9.25,1
7.8,9.25,8.0,6.75,8.25,9.0,5
8.4,7.25,6.6,6.5,8.5,8.75,7
7.2,9.0,8.8,8.0,7.75,7.5,5
6.8,8.5,3.8,8.75,9.25,9.75,6
7.6,9.25,9.0,7.75,6.5,7.75,5
4.4,6.25,2.0,3.75,5.0,6.5,6
8.0,8.25,6.6,5.0,4.25,8.0,1
6.6,6.75,7.6,6.5,6.5,8.25,1
6.2,8.5,6.6,6.75,8.5,6.5,7
8.4,9.0,9.0,6.0,5.5,8.0,1
3.0,5.0,3.4,3.0,3.25,3.75,5
7.8,8.25,7.8,7.25,8.0,8.5,7
8.6,5.5,9.2,8.75,9.0,9.25,6
8.0,9.0,7.4,6.5,7.5,8.5,5
5.8,7.25,4.2,6.5,7.75,9.25,6
6.4,5.5,4.6,4.75,6.5,5.0,7
4.2,6.75,2.2,6.25,5.75,6.75,6
7.6,6.5,6.2,7.75,8.25,9.75,6
6.2,8.25,6.8,8.5,8.0,9.5,6
7.0,7.0,7.2,7.0,9.0,9.25,7
5.2,9.0,7.6,5.75,8.0,8.0,5
7.0,8.75,7.4,6.5,6.0,9.25,5
7.4,8.0,6.4,8.25,9.0,10.0,6
8.0,9.0,8.6,7.25,8.5,9.25,7
7.0,8.25,6.6,7.25,7.0,8.25,7
7.8,8.75,7.4,7.25,6.0,7.25,5
7.6,8.0,4.0,7.75,9.25,7.25,6
6.0,8.0,7.2,5.75,7.75,8.25,7
6.4,8.25,7.6,4.75,6.5,6.0,5
8.6,8.5,7.0,5.5,8.5,8.5,1
6.4,8.25,8.4,8.5,9.5,8.75,6
7.2,8.75,5.2,8.25,9.25,9.0,6
2.8,1.25,7.2,4.0,5.25,7.75,7
8.2,8.75,7.2,8.0,8.75,9.5,6
8.2,9.25,8.4,7.0,7.75,9.5,5
5.2,5.75,3.4,3.5,3.5,4.5,1
3.4,6.5,2.8,6.75,6.25,7.0,6
8.2,9.0,8.4,7.25,7.5,8.75,5
5.8,7.0,2.8,4.25,7.25,6.75,6
8.4,8.75,9.2,7.25,8.0,9.75,1
5.4,1.75,4.4,4.5,4.0,4.5,1
7.2,8.75,7.2,5.75,7.25,9.0,5
8.0,8.0,8.8,6.75,7.25,9.0,1
6.2,4.0,4.2,2.5,7.0,6.0,7
8.0,7.75,8.4,6.5,8.5,8.75,7
8.2,8.0,9.4,7.0,7.25,8.5,1
7.0,8.75,8.0,7.75,8.0,9.25,6
5.6,5.5,8.0,7.0,7.0,7.75,7
7.4,9.25,8.4,6.5,6.75,8.5,5
7.4,7.0,9.4,7.0,7.25,8.5,1
5.8,6.25,8.0,6.75,7.75,8.25,7
5.4,7.25,6.8,6.5,7.5,8.0,7
7.0,6.0,7.2,5.25,6.75,9.0,1
7.4,9.25,7.6,6.5,8.75,9.0,7
7.6,7.25,7.4,6.0,8.25,6.25,7
8.2,9.25,6.6,7.0,7.0,8.25,7
7.8,7.75,7.2,8.75,8.5,9.5,6
6.2,6.25,4.2,6.25,6.5,8.0,6
6.2,8.0,3.2,5.5,7.5,7.75,6
6.2,6.5,5.0,7.5,8.25,7.75,6
7.4,7.75,8.4,7.0,9.0,9.5,7
7.2,7.0,7.4,6.75,8.75,9.5,7
8.6,8.5,6.0,5.75,8.0,8.0,1
7.2,8.25,7.4,6.5,7.5,8.0,5
7.2,8.75,8.2,6.0,7.25,8.25,5
7.4,6.75,6.8,7.0,8.25,8.25,7
6.0,6.25,4.4,5.25,7.75,7.25,6
5.8,8.5,5.4,7.0,8.25,9.5,6
7.8,8.0,7.2,6.5,9.0,9.0,7
8.4,8.25,8.0,5.75,6.25,7.75,1
6.4,6.75,7.4,4.5,6.5,8.25,7
6.4,7.25,4.8,7.5,9.0,8.5,6
7.4,7.0,6.4,5.75,7.5,7.5,7
7.4,7.0,8.0,7.0,7.5,8.5,7
4.0,8.25,2.8,4.5,7.0,7.25,6
8.2,8.75,8.2,7.0,8.0,8.75,5
6.0,8.5,8.6,4.75,5.0,7.75,5
6.8,9.0,4.0,5.5,6.75,8.75,6
7.4,8.5,7.0,7.5,8.0,7.25,5
7.8,8.25,6.8,7.25,6.5,7.25,7
6.0,7.5,6.8,5.25,8.0,8.0,7
7.0,6.0,7.4,7.0,8.25,8.75,7
6.6,8.5,5.0,6.5,7.0,8.5,6
7.8,7.0,6.8,6.75,7.0,5.75,7
7.6,8.75,7.4,5.5,7.5,6.75,5
7.8,8.5,6.0,6.25,6.25,6.75,1
8.6,8.5,8.0,6.5,7.0,9.0,1
9.0,9.25,7.8,6.25,7.0,8.5,1
7.6,8.75,9.2,6.25,8.75,9.5,7
9.2,9.0,7.0,7.25,7.0,8.5,1
5.8,5.0,5.0,6.75,6.0,8.0,6
7.4,8.75,8.6,7.0,7.0,9.0,5
6.8,8.5,7.0,7.25,8.25,9.5,7
8.4,9.5,7.6,7.0,6.5,7.25,5
4.8,8.75,4.2,6.25,7.25,7.75,6
4.2,8.75,9.4,7.0,8.25,8.75,7
4.2,3.75,3.0,6.25,7.0,7.25,6
6.6,8.75,8.6,5.5,6.25,8.0,5
7.6,8.75,7.4,5.0,8.25,8.75,7
7.4,9.25,8.6,6.0,7.25,9.5,5
6.2,8.25,8.8,6.75,8.0,9.0,7
6.6,7.25,8.6,7.25,7.0,8.75,5
5.2,5.5,4.2,5.5,8.0,6.0,7
6.4,9.25,5.4,4.25,6.75,7.0,7
6.0,8.5,8.2,6.25,7.0,8.5,5
6.0,8.0,7.8,9.0,6.5,7.25,5
6.8,5.25,9.2,6.0,6.5,6.75,1
7.8,9.0,8.2,7.25,7.25,8.75,5
6.8,7.75,4.2,5.0,7.75,7.5,6
5.0,8.5,6.0,5.0,7.75,7.75,7
7.4,8.25,5.2,8.75,8.25,9.5,6
8.2,7.75,6.6,6.0,6.75,8.25,7
7.8,8.5,7.8,4.75,6.0,7.75,1
4.2,6.25,6.2,5.5,7.5,7.5,7
9.2,9.25,9.2,7.75,8.5,8.75,1
6.0,8.0,7.8,5.75,5.75,8.25,5
7.6,8.0,2.6,7.25,7.75,8.5,6
8.6,9.0,8.8,7.0,7.25,8.5,1
7.2,7.0,8.8,6.75,7.25,7.0,7
8.0,9.25,9.6,7.75,7.5,8.75,5
3.8,7.0,4.0,8.0,6.5,7.5,6
8.4,7.5,9.2,7.25,6.25,9.25,1
7.8,9.5,7.2,7.0,8.5,8.75,5
5.6,6.0,5.8,4.0,7.0,7.0,7
8.0,8.0,6.8,7.25,7.5,9.25,7
6.8,7.5,8.4,6.25,7.75,8.25,7
6.4,8.5,6.4,5.0,6.5,7.5,7
8.4,8.25,8.0,7.25,7.75,8.5,1
8.6,9.25,8.6,7.0,8.5,8.75,1
7.4,8.75,7.6,5.25,7.25,8.0,5
6.2,8.25,4.0,5.5,7.75,6.25,6
6.0,7.5,4.8,6.0,5.0,5.0,5
7.2,8.5,7.8,6.25,7.5,7.75,5
6.8,8.5,8.4,6.0,7.5,8.0,5
8.4,9.5,9.0,7.25,7.75,8.75,5
6.2,7.5,7.6,6.0,6.0,8.0,5
5.2,6.25,6.0,3.75,6.75,7.0,7
5.2,6.75,4.0,6.25,6.5,8.0,6
7.8,8.5,8.6,5.75,8.0,7.75,7
6.2,8.25,7.4,6.5,7.0,8.75,5
5.8,8.0,6.8,6.75,7.0,8.0,7
7.2,8.75,5.8,7.25,7.5,7.75,6
7.2,8.25,7.0,7.25,7.75,7.25,5
6.8,7.75,7.4,6.75,7.75,9.5,7
7.0,9.0,9.2,7.0,7.5,7.5,5
7.4,8.5,8.0,6.75,8.25,9.25,7
6.6,9.0,7.0,7.0,7.0,7.0,5
7.0,6.75,5.4,5.5,5.5,6.5,1
6.2,8.25,2.6,8.0,7.75,8.0,6
2.0,5.75,1.8,3.5,4.25,7.25,6
7.8,8.75,7.2,6.25,6.25,8.25,5
5.0,8.25,3.8,6.25,7.0,7.25,6
5.8,4.5,7.6,6.25,7.25,6.75,7
7.4,8.5,7.4,7.25,8.0,9.25,5
6.6,9.0,7.0,5.75,8.0,8.5,5
7.0,7.75,7.4,7.0,6.25,7.75,5
6.4,6.75,9.4,5.75,7.5,8.25,7
8.8,8.25,6.6,8.75,9.25,9.25,6
7.4,7.5,4.2,6.0,7.5,7.25,6
7.2,7.75,5.6,7.25,7.0,7.75,6
4.4,4.0,6.0,7.0,2.25,4.75,5
6.6,9.0,9.0,6.75,8.25,7.25,5
8.0,7.75,5.6,4.75,7.0,5.75,1
8.4,8.5,8.2,5.75,6.75,8.0,1
6.0,6.25,7.4,5.5,7.25,8.0,7
5.2,7.5,4.2,7.25,8.75,8.75,6
9.0,8.75,7.4,7.25,8.0,8.5,1
7.6,8.5,9.2,6.75,8.0,8.25,7
8.0,8.0,7.4,6.5,7.75,9.25,1
8.2,8.75,8.8,6.75,8.0,8.75,1
8.6,8.5,9.2,8.5,9.0,9.5,6
5.4,5.75,5.4,6.75,7.25,9.25,6
4.6,7.25,5.0,7.0,4.5,5.5,5
7.6,8.0,7.2,7.0,6.75,7.5,5
8.2,8.25,8.4,6.25,8.5,7.75,7
8.0,8.5,7.0,6.5,7.0,8.0,1
8.4,9.0,6.2,5.75,6.75,7.5,1
7.6,8.75,7.6,7.0,6.75,7.75,5
4.8,6.0,3.0,7.75,7.0,8.0,6
6.6,8.25,5.6,5.25,8.0,6.75,7
6.6,7.75,8.2,6.25,6.25,8.75,5
7.0,9.0,8.2,6.5,7.5,8.75,5
8.2,8.25,7.0,6.5,8.75,9.0,7
7.2,9.25,4.8,3.25,7.5,6.75,7
7.0,8.75,8.0,7.0,8.25,8.75,7
7.4,8.0,4.4,9.25,9.75,9.5,6
8.2,8.5,6.2,4.5,6.5,6.75,1
8.2,8.25,8.4,7.25,7.5,9.0,1
5.4,6.75,5.4,6.75,7.75,6.0,7
9.0,8.25,8.2,6.75,7.75,8.5,1
5.6,6.25,8.4,6.5,8.0,8.25,7
6.6,4.0,6.8,5.25,6.0,7.75,1
7.6,8.5,4.6,7.25,7.25,9.25,6
8.6,9.0,7.0,7.0,7.5,9.25,1
5.6,7.5,7.4,5.0,7.25,8.5,7
7.6,8.25,7.4,4.5,5.75,8.0,1
5.6,7.75,3.2,4.75,6.5,8.0,6
8.0,6.5,6.4,8.25,8.5,8.25,6
7.6,8.75,8.4,7.75,7.0,7.25,5
8.0,9.25,8.6,7.25,7.25,7.25,5
8.6,9.0,8.6,7.25,5.75,8.0,1
7.2,9.0,7.2,6.5,8.0,9.25,5
